food_name;group_id;food_calories;protein;carbohydrates;fat;fiber;sugars;sodium
士多啤梨雪糕;10;192;27.6;0;8.4;3.2;0.9;60
朱古力雪糕;10;216;28.2;25.36;11;3.8;1.2;76
焦糖雪糕;10;196;31.81;0;5.98;4.71;0;126
雲呢拿雪糕;10;207;23.6;21.22;11;3.5;0.7;80
果汁雪條;10;74;18.7;18.7;0.1;0.2;0;6
雪糕;10;180;23;21;8.6;3.6;0;54
豆腐雪糕;10;155;29.7;29.5;3;3.2;0.7;104
鱈魚;11;102;0;0;1.17;21.33;0;78
生三文;11;208;0;0;13.42;20.42;0;59
熟三文魚;11;206;0;0;12.35;22.1;0;61
罐裝吞拿魚;11;253;0;0;20.2;18.1;0;483
吞拿魚;11;123;0;0;1.8;26.3;0;50
煙燻三文魚;11;135;0;0;4.6;23;0;1266
生油甘魚;11;146;0;0;5.24;23.14;0;39
生藍鰭吞拿魚;11;144;0;0;4.9;23.33;0;39
石斑;11;118;0;0;1.3;24.84;0;53
罐裝沙甸魚;11;307;0;0;26.6;17.6;0;350
鯇魚;11;113;0;0;5.2;16.6;0;46
比目魚;11;112;0;0;3.2;20.8;0;66.7
紅三魚;11;101;0;0;2.9;18.6;0;118
運動飲品;12;26;6.7;6.7;0.0;0.0;0.0;33
汽水;12;38;9.8;9.8;0.0;0.0;0.0;5
橙汁;12;36;8.2;7.9;0.0;0.6;0.1;3
可樂;12;41;10.5;10.5;0.0;0.0;0.0;11
龍眼冰;12;51;10;9.3;0.8;0;0;5
凍鴛鴦;12;52;5.2;4.8;2.3;2.4;0;30
甜豆漿;12;53;8.1;7.4;1.5;2.0;0;0
無糖豆漿;12;28;0.89;0;1.6;2.4;0;0
紅豆冰;12;81;15;11;1.1;2.4;1.9;10
珍珠奶茶;12;78;13.4;5;2.6;0;0;18
抹茶拿鐵;12;56;6.8;5.2;2.5;1.7;0;21
朱古力;12;55;7.8;5.6;1.9;1.6;1.1;36
朱古力咖啡;12;68;8.7;7.2;2.7;2.1;1.1;41
凍奶茶;12;43;8.3;7.0;0.7;1.0;0;16
凍咖啡;12;47;8.0;6.3;1.3;1.0;0;16
綠茶;12;0;0;0;0;0;0;3.9
茉莉綠茶;12;29;6.7;6;0;0;0;0
蜂蜜綠茶;12;29;6.7;5.8;0;0;0;0
凍檸檬茶;12;46;11;8.0;0.3;0;0;0
檸檬茶;12;15;3.0;0.80;0;0;0;0
熱咖啡;12;43;3.9;0;2.1;2.2;0;32
熱奶茶;12;45;3.6;0;2.4;2.3;0;35
鮮榨橙汁;12;45;10;7.7;0;0.7;0;0
鮮榨甘筍汁;12;27;5.5;3.6;0;0.7;0;75
鮮榨芒果汁;12;47;11;9.3;0;0;0;0
